unit,group,model,how,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
NWSL 2023,women_club,GBM_LOC,recal,3173,272,0.2541437706034835,0.07115701247963149,0.001190231957595378,0.008408027246274541,0.07837480776831066,0.0115066938515877,0.7692941835472554,0.01428968548491947,1.0617463058355603,1.011982009253114
NWSL 2023,women_club,GBM_GEO,none,3173,272,0.24181662501365825,0.06791894866919083,0.001633978291817731,0.012089837390937552,0.07837480776831066,0.015302269542706333,0.8006557069570333,-0.14913163333802817,0.9686994977555086,0.8918598325994048
NWSL 2023,women_club,GBM_GEO,recal,3173,272,0.24120940706823688,0.06767258533181304,0.001387614954439939,0.012089837390937552,0.07837480776831066,0.013147815164861798,0.8006557069570333,0.07094589141326633,1.0281196356754716,1.0579194075111265
Premier League 2015/2016,men_club,GLM_LOC,none,9165,869,0.26737920102805657,0.07580000535051516,0.0007952127059950298,0.010822137947532146,0.08582693059205228,0.00922394589284652,0.775040836572702,-0.022951054585563825,0.9847095333453146,0.9820330912223123
Premier League 2015/2016,men_club,GLM_LOC,recal,9165,869,0.26966666980851556,0.07619709860848695,0.0011923059639668138,0.010822137947532146,0.08582693059205228,0.016720700148662736,0.775040836572702,0.16070395554563818,0.8351625273181412,1.1299663533355455
Premier League 2015/2016,men_club,GLM_GEO,none,9165,869,0.25729783015680957,0.07287551152323597,0.000844321644850432,0.013795740713666738,0.08582693059205228,0.009838991139957726,0.7972099354937509,-0.07645371908476047,0.934692342816296,0.9446506328853242
Premier League 2015/2016,men_club,GLM_GEO,recal,9165,869,0.26803236517452445,0.07421895040972139,0.0021877605313358472,0.013795740713666738,0.08582693059205228,0.02723837219923599,0.7972099354937509,0.2091092464754395,0.6628653649284776,1.1459812474531645
Premier League 2015/2016,men_club,GBM_LOC,none,9165,869,0.26647241669575866,0.07561382822949306,0.0006982291244529842,0.010911331487012205,0.08582693059205228,0.009223586583254593,0.7776827991473146,-0.006719751438133838,0.9789387210517055,0.9947109324449208
Premier League 2015/2016,men_club,GBM_LOC,recal,9165,869,0.2696006957355829,0.07606173583110706,0.0011461367260669902,0.010911331487012205,0.08582693059205228,0.01832647475495202,0.7776827991473146,0.17497461325096014,0.8091695206796764,1.1405930061574021
Premier League 2015/2016,men_club,GBM_GEO,none,9165,869,0.25546131601866906,0.07238732008891434,0.000848927123367732,0.01428853762650567,0.08582693059205228,0.010141315422147837,0.8007035153852896,-0.0689207617137699,0.929872757766298,0.9505805705581553
Premier League 2015/2016,men_club,GBM_GEO,recal,9165,869,0.2694863693626436,0.07422783744612672,0.0026894444805801165,0.01428853762650567,0.08582693059205228,0.032251396267879914,0.8007035153852896,0.23599511886554864,0.6382208345272811,1.1579651788619563
Serie A 2015/2016,men_club,GLM_LOC,none,9107,801,0.24056278997011948,0.06769458720180116,0.0008667204647435506,0.013390491558481502,0.08021835829553911,0.01283265363680797,0.8103656397478111,0.05417898960124817,1.161923565590534,1.0444112754426014
