group,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp,design,split
women_club,statsbomb_xg,27452,2964,0.2772989087102261,0.07929934956897264,0.0005215986209810841,0.017534944074036635,0.09631269502202819,0.01056065857871658,0.7992496104291463,0.06916696512837392,1.0065634601181446,1.0526622882361156,cross,men_intl
women_intl,GLM_LOC,4521,428,0.2677855344747511,0.07582143826350847,0.0012642029069422772,0.011149805261619017,0.08570704061818521,0.011617551101216868,0.7735089085308631,-0.047377049289343914,0.9824227539515505,0.9630961630179056,cross,men_intl
women_intl,GLM_GEO,4521,428,0.24834496262585115,0.06997320801940389,0.0012856782665031374,0.017019510865284457,0.08570704061818521,0.013335930885107086,0.8099678959518302,0.08263720831444363,0.9961428787093197,1.0639681693795875,cross,men_intl
women_intl,GBM_LOC,4521,428,0.2703824063375752,0.0762732829022519,0.0016785904321920397,0.011112348148125353,0.08570704061818521,0.020160575058969912,0.7737035650106975,-0.06275382280941208,1.2471414572955277,0.9489114601432858,cross,men_intl
women_intl,GBM_GEO,4521,428,0.25004209863309457,0.07045567447257114,0.0015710355783861707,0.016822401724000235,0.08570704061818521,0.015407269874231215,0.8132605017456291,0.045163534948450754,1.1812068258294086,1.0363163203243808,cross,men_intl
women_intl,statsbomb_xg,4521,428,0.24740215968352428,0.06974169211202616,0.0012804166977277293,0.01724576520388678,0.08570704061818521,0.013998935967145692,0.8158281405910707,0.0037806771191498056,1.1205091690574545,1.0028931349940269,cross,men_intl
men_club,GLM_LOC,38613,3751,0.2678538919231683,0.07605070459168743,0.000407010129118035,0.012062904932335139,0.08770659939490454,0.009715246619708084,0.7860116884517407,0.07742959179140489,1.0522877674709008,1.0628987052492838,cross,women_club
men_club,GLM_GEO,38613,3751,0.25343562970900607,0.07189070714588529,0.0003097803339962152,0.016125672583015463,0.08770659939490454,0.007912445328566475,0.8149452689884498,-0.07810930144448124,1.023060347657954,0.9435477714990506,cross,women_club
men_club,GBM_LOC,38613,3751,0.26685537324549946,0.07597212649922643,0.0005667882165733273,0.012301261112251438,0.08770659939490454,0.010410783188941352,0.7874745878868459,0.06910464165887337,1.0835583363884265,1.056845526436389,cross,women_club
men_club,GBM_GEO,38613,3751,0.2514733547604584,0.07152932822768476,0.00036326668877743884,0.01654053785599721,0.08770659939490454,0.007696192002653055,0.8165415770947495,-0.06827675673087232,1.0160706317815962,0.9509750142947323,cross,women_club
