design,split,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
loco_sub,Ligue 1 2015/2016,GBM_LOC,8260,825,0.2723656776595937,0.07744618007550512,0.001036747465325713,0.013493700432753372,0.08990313304293278,0.012320368421484486,0.7812468464062277,0.1284038123953333,1.0230886865424258,1.1069080276908245
loco_sub,Ligue 1 2015/2016,GBM_GEO,8260,825,0.25380885011813653,0.07195572149712078,0.0010092238468771414,0.018956635392689145,0.08990313304293278,0.011070119897008693,0.8166195105051864,-0.027622220774768343,1.0173773510517843,0.9799583345429447
loco_sub,Ligue 1 2015/2016,statsbomb_xg,8260,825,0.25669231709676416,0.072833084598796,0.0007084553815669831,0.017778503825703756,0.08990313304293278,0.00970510811158366,0.8126530129811904,0.0641946526906477,1.0263792683627886,1.0485932184677766
loco_sub,NWSL 2023,GLM_LOC,3419,294,0.2565925560628835,0.07124626845018933,0.0019310117767380314,0.00928050924111129,0.07859576591456259,0.021210731529512163,0.7645186394557824,-0.2483187369347389,0.9627400792403089,0.8200865132526342
loco_sub,NWSL 2023,GLM_GEO,3419,294,0.24245058118802879,0.06754103120698025,0.0014932365644676482,0.012547971272049985,0.07859576591456259,0.01447387084059578,0.7943891156462585,-0.15774322977426178,0.9792304675410239,0.8855720627498144
loco_sub,NWSL 2023,GBM_LOC,3419,294,0.2563092795191071,0.07145810488230368,0.0017846917869509399,0.008922352819209847,0.07859576591456259,0.02140774948354185,0.7672370068027211,-0.2612982052141036,0.9747504727827241,0.8112770717924404
loco_sub,NWSL 2023,GBM_GEO,3419,294,0.24058565952349295,0.0672738885001541,0.001269144434759173,0.01259102184916766,0.07859576591456259,0.013835583229611126,0.8014508843537416,-0.14911810039755058,0.981356570712539,0.8923510392958532
loco_sub,NWSL 2023,statsbomb_xg,3419,294,0.2402014970551386,0.06606174707966135,0.0016243570495732829,0.014158375884474522,0.07859576591456259,0.018216837540165978,0.794640544217687,-0.1269270171062303,1.0496720177753283,0.9060357972703904
loco_sub,Premier League 2015/2016,GLM_LOC,9415,888,0.26627752303883145,0.07537584100218334,0.0007061733258063307,0.010752105073573687,0.08542177274995069,0.008250738979048697,0.774931537025474,-0.0227516504461522,0.9916969034032883,0.9821456078883412
loco_sub,Premier League 2015/2016,GLM_GEO,9415,888,0.25517498018349266,0.07215980907704375,0.0007988383528346882,0.014060802025741628,0.08542177274995069,0.00974088354235371,0.7994033525726969,-0.07629474962480057,0.947916009764837,0.9446748075344684
loco_sub,Premier League 2015/2016,GBM_LOC,9415,888,0.2652428175336141,0.07509020428759648,0.0007269066458012868,0.011058475108155497,0.08542177274995069,0.009397173573665239,0.7770711370453367,-0.012650717311345311,0.9668231900991078,0.9900892037878556
loco_sub,Premier League 2015/2016,GBM_GEO,9415,888,0.25335873480526505,0.07169293055664165,0.0007429198716730062,0.014471762064982047,0.08542177274995069,0.01013761464978791,0.8028294067493082,-0.07567087864682573,0.9415690426216147,0.945718244741876
loco_sub,Premier League 2015/2016,statsbomb_xg,9415,888,0.2515270134050655,0.07084981895555395,0.0006888663981774179,0.01526082019257416,0.08542177274995069,0.010560500685448096,0.8046192301718864,0.0065443114200385705,1.0180110134112392,1.0049312751254733
loco_sub,Serie A 2015/2016,GLM_LOC,9396,824,0.24110050325701382,0.06780310399794368,0.0008682030668774599,0.0130712464453977,0.08000614737646392,0.013036729082074934,0.8080923043641751,0.0572750587113182,1.1579486962815104,1.0471463866558721
loco_sub,Serie A 2015/2016,GLM_GEO,9396,824,0.22629999860915911,0.0640847334306374,0.0008425655936283305,0.01676397953945484,0.08000614737646392,0.014272651262855368,0.839727391960277,-0.04118563967457303,1.1125868653075752,0.9694593028769073
loco_sub,Serie A 2015/2016,GBM_LOC,9396,824,0.23964213888103894,0.06751716856312617,0.0009382340640775311,0.013427212877415273,0.08000614737646392,0.014504061692147187,0.8129743514671838,0.04970626373642832,1.190655633223804,1.0409640059281684
loco_sub,Serie A 2015/2016,GBM_GEO,9396,824,0.2252413708794554,0.06379907653268863,0.0008623217112379566,0.017069392555013246,0.08000614737646392,0.011747731116323592,0.8417127167250339,-0.0212400900219128,1.0938949175717234,0.9842913880365829
loco_sub,Serie A 2015/2016,statsbomb_xg,9396,824,0.22720302221018482,0.06409961216249273,0.0009648281691281013,0.01687136338309929,0.08000614737646392,0.01535281195135013,0.8378123598394411,0.028987716149637254,1.10159376775592,1.0219762995322716
loco_sub,Serie A Women 2023/2024,GLM_LOC,3560,349,0.2694985616593874,0.07665252785983219,0.0014043544410018982,0.013174926568545048,0.08842309998737534,0.013185933127854522,0.7826521297224172,-0.08520595766708781,1.0480745099929387,0.9352350151571599
loco_sub,Serie A Women 2023/2024,GLM_GEO,3560,349,0.2572030030119486,0.07358461448161419,0.0015478989947675936,0.016386384500528747,0.08842309998737534,0.016236289731383448,0.8083468449697003,0.08076976347199605,1.0239523124032408,1.0630886810509868
loco_sub,Serie A Women 2023/2024,GBM_LOC,3560,349,0.2671122464674567,0.07585247704848534,0.001315353170807415,0.013885976109697412,0.08842309998737534,0.014623530884987785,0.7881757640060715,-0.08479171508889115,1.0691848545605478,0.9355609292855851
loco_sub,Serie A Women 2023/2024,GBM_GEO,3560,349,0.25565788546308377,0.07290035560538959,0.001495944487154427,0.01701868886914018,0.08842309998737534,0.013414140275310035,0.8104474322239366,0.07654152156873471,1.0151117681437243,1.0588622174328555
loco_sub,Serie A Women 2023/2024,statsbomb_xg,3560,349,0.2553688906209631,0.07214914341341287,0.0017191763908788044,0.01799313296484127,0.08842309998737534,0.019134459295217957,0.8109748099075617,0.0781108267282157,1.1164519853963133,1.0617073868375344
loco_sub,UEFA Euro 2020,GLM_LOC,1193,121,0.2757337561564274,0.07796661721398813,0.002564633294979232,0.0157359687512547,0.0911379526702636,0.019458709442909044,0.7735753052917231,-0.024261646319614052,1.0272498067944782,0.9812704128758858
loco_sub,UEFA Euro 2020,GLM_GEO,1193,121,0.26006847863503857,0.07358868495513014,0.0023237980069937964,0.019873065722127256,0.0911379526702636,0.016744797689162597,0.8051066979153819,0.01670023888965088,1.002177876324222,1.012309993022485
loco_sub,UEFA Euro 2020,GBM_LOC,1193,121,0.27328396021692025,0.07779374033381645,0.002813935057704206,0.016158147394151362,0.0911379526702636,0.023805606770247057,0.78236400641421,-0.007284808379069776,1.0522543723778066,0.9943077715965567
loco_sub,UEFA Euro 2020,GBM_GEO,1193,121,0.26136252470054516,0.07432949256239435,0.002196351101473662,0.019004811209342914,0.0911379526702636,0.014767839798745243,0.8065020969532503,0.017603799398742452,0.9718023744352937,1.0129116004736598
loco_sub,UEFA Euro 2020,statsbomb_xg,1193,121,0.2556212492605803,0.07188750125321158,0.002608217841184479,0.0218586692582365,0.0911379526702636,0.017656652778286236,0.8103413716541261,0.03018875873853036,1.098827965337502,1.0225322883855588
loco_sub,UEFA Euro 2024,GLM_LOC,1257,98,0.2460383675435278,0.06686319597089292,0.002603135976295759,0.007625052429131446,0.07188511242372861,0.01954845094142841,0.7441319927453294,-0.23427947009759234,0.9062844420196999,0.8240028663735081
loco_sub,UEFA Euro 2024,GLM_GEO,1257,98,0.23091526648270647,0.063776052401371,0.002262810687511642,0.010371870709869245,0.07188511242372861,0.01540405157101546,0.7884435914141326,-0.15948853840136967,0.9422881804206162,0.881417748952511
loco_sub,UEFA Euro 2024,GBM_LOC,1257,98,0.2431075487432032,0.0663720668677911,0.0028405667602863782,0.00835361231622389,0.07188511242372861,0.02387174611390819,0.7540103185363878,-0.23384666068609314,0.9406260541596384,0.8248126505492402
loco_sub,UEFA Euro 2024,GBM_GEO,1257,98,0.2316182279046746,0.06425117459816526,0.0025499539263739573,0.010183891751937305,0.07188511242372861,0.01601627887118363,0.7883731577186526,-0.16714419487704396,0.9350273267708177,0.8763967949537455
